,SchoolCode,DisciplineRate,DisciplineInt
6,5027.0,<7%,4_to_7
285,1646.0,<4%,2_to_4
506,4500.0,3.50%,2_to_4
834,1533.0,,
1095,5372.0,<1%,below_2
1186,4247.0,5.60%,4_to_7
2501,2441.0,<4%,2_to_4
2801,4265.0,4.50%,4_to_7
3633,1825.0,,
4330,2968.0,<10%,
5440,2467.0,<2%,below_2
6905,2523.0,2.10%,2_to_4
7045,5495.0,<5%,4_to_7
7111,2277.0,,
8106,2434.0,9.70%,
8358,5037.0,4.50%,4_to_7
8477,5522.0,<2%,below_2
8561,4474.0,4.30%,4_to_7
8687,2795.0,4.60%,4_to_7
9012,1768.0,<5%,4_to_7
9709,2395.0,2.00%,below_2
10261,2220.0,1.50%,below_2
10842,5472.0,2.60%,2_to_4
11414,5950.0,<2%,below_2
11481,2415.0,4.40%,4_to_7
13049,5240.0,<10%,
13216,2701.0,<1%,below_2
13503,2553.0,<1%,below_2
13634,5340.0,<3%,2_to_4
14720,5235.0,,
14785,4007.0,<10%,
15335,2807.0,4.90%,4_to_7
16101,3392.0,,
16484,5028.0,<9%,
17351,3136.0,<2%,below_2
17849,5465.0,<10%,
18624,4585.0,2.90%,2_to_4
19050,3106.0,3.20%,2_to_4
19616,3109.0,4.20%,4_to_7
20066,5272.0,<10%,
20256,2800.0,<6%,4_to_7
20773,1900.0,<10%,
20996,2788.0,<5%,4_to_7
21173,5406.0,<2%,below_2
23452,3008.0,<10%,
24194,2362.0,2.80%,2_to_4
24327,1928.0,<8%,
25069,1836.0,<6%,4_to_7
25350,4567.0,<1%,below_2
26432,2986.0,,
26516,5176.0,<5%,4_to_7
26760,3960.0,2.00%,below_2
27618,5395.0,<3%,2_to_4
27707,5163.0,12.80%,above_10
27820,5325.0,<5%,4_to_7
29681,3564.0,3.80%,2_to_4
29795,3407.0,3.20%,2_to_4
30757,1751.0,<10%,
31860,3268.0,<3%,2_to_4
32235,2281.0,3.40%,2_to_4
34237,3524.0,<1%,below_2
35883,5281.0,<4%,2_to_4
36577,2615.0,1.60%,below_2
36985,3065.0,4.50%,4_to_7
37120,2166.0,7.10%,
37946,1510.0,2.30%,2_to_4
38376,2299.0,<2%,below_2
39327,1802.0,<10%,
39442,4260.0,3.30%,2_to_4
39637,1940.0,<10%,
39732,3610.0,3.40%,2_to_4
39954,5396.0,<10%,
40768,5523.0,,
40836,5164.0,<1%,below_2
41311,5319.0,<10%,
41452,5549.0,<7%,4_to_7
41801,3096.0,1.80%,below_2
42207,3275.0,7.20%,
43292,1539.0,<10%,
43438,5546.0,11.10%,above_10
43538,4288.0,<2%,below_2
44008,3422.0,<10%,
44257,3143.0,<10%,
44531,5290.0,<8%,
44951,2329.0,<6%,4_to_7
45401,2392.0,1.30%,below_2
45516,1756.0,<10%,
45764,2425.0,4.40%,4_to_7
46302,3366.0,<7%,4_to_7
46625,5362.0,<3%,2_to_4
47022,2588.0,<10%,
47255,5273.0,<3%,2_to_4
48274,3508.0,<10%,
48503,4049.0,<6%,4_to_7
48630,2330.0,<3%,2_to_4
49189,3423.0,3.90%,2_to_4
49863,5180.0,<5%,4_to_7
50076,3310.0,<2%,below_2
50186,1585.0,<4%,2_to_4
50345,1508.0,<3%,2_to_4
50825,2810.0,<8%,
51134,3272.0,<2%,below_2
51458,1776.0,<10%,
51560,1830.0,,
51707,1649.0,,
53992,2625.0,<4%,2_to_4
54585,3294.0,<8%,
54726,5190.0,<10%,
54807,5411.0,<3%,2_to_4
54898,5499.0,<8%,
55443,3473.0,<10%,
55969,2863.0,<10%,
56415,5081.0,,
56446,5171.0,<3%,2_to_4
56895,2006.0,<10%,
57221,3600.0,4.70%,4_to_7
57365,2423.0,<10%,
57828,5328.0,<3%,2_to_4
58662,3188.0,<9%,
58910,3173.0,<7%,4_to_7
59489,2116.0,2.20%,2_to_4
59636,1797.0,,
59730,1603.0,,
60094,5502.0,<10%,
60331,2302.0,<10%,
60689,3766.0,1.40%,below_2
60905,4123.0,<2%,below_2
61029,1852.0,<7%,4_to_7
61793,5367.0,9.40%,
62350,3899.0,<2%,below_2
63052,5312.0,<3%,2_to_4
63158,5400.0,<8%,
63593,1628.0,<2%,below_2
63710,1671.0,,
152708,3972.0,12.90%,above_10
153109,1935.0,<9%,
153686,5416.0,13.30%,above_10
153690,1629.0,21.10%,above_10
154722,3360.0,6.80%,4_to_7
154854,2344.0,5.90%,4_to_7
155374,4439.0,<1%,below_2
155505,3372.0,,
155605,2727.0,3.30%,2_to_4
155722,3554.0,,
156110,2206.0,<2%,below_2
156394,3569.0,<10%,
157723,5358.0,<1%,below_2
157807,1519.0,<6%,4_to_7
158145,1966.0,<5%,4_to_7
158509,3123.0,<1%,below_2
158631,1617.0,<4%,2_to_4
158729,5413.0,<7%,4_to_7
159297,3206.0,5.80%,4_to_7
160394,2996.0,4.00%,2_to_4
160841,2137.0,4.00%,2_to_4
161403,4540.0,3.20%,2_to_4
162492,3855.0,<10%,
162583,1688.0,,
163137,1950.0,<7%,4_to_7
164596,3317.0,<10%,
164755,4210.0,,
164884,3330.0,1.70%,below_2
165081,2920.0,3.80%,2_to_4
165317,5398.0,<1%,below_2
165390,5305.0,<1%,below_2
165477,5332.0,,
165729,5432.0,<10%,
165855,5433.0,<10%,
166227,2126.0,2.20%,2_to_4
166349,5330.0,<2%,below_2
167801,2724.0,4.20%,4_to_7
167923,3099.0,3.80%,2_to_4
168883,3819.0,,
169012,1718.0,<6%,4_to_7
169470,2066.0,,
170321,1822.0,,
170789,2417.0,7.10%,
171106,5107.0,<10%,
171476,2488.0,<1%,below_2
171769,5464.0,<7%,4_to_7
172043,3412.0,2.20%,2_to_4
172463,2773.0,3.40%,2_to_4
173419,2612.0,,
173732,2041.0,<10%,
174721,1500.0,<10%,
175013,2349.0,<4%,2_to_4
175437,2179.0,5.20%,4_to_7
175567,3880.0,4.00%,2_to_4
175688,2848.0,1.30%,below_2
177142,2182.0,1.50%,below_2
177367,2876.0,5.70%,4_to_7
177948,3192.0,<4%,2_to_4
178131,5307.0,<1%,below_2
